D_TRA1_1_SPOT1,satisfaction
11010.0,0.32051282051282054
11020.0,0.3548387096774194
11030.0,0.2857142857142857
11040.0,0.25
11050.0,0.35714285714285715
11060.0,0.4375
11080.0,0.3333333333333333
11090.0,0.2222222222222222
11100.0,0.375
11110.0,0.0
11120.0,0.16666666666666666
11130.0,0.14285714285714285
11140.0,0.21428571428571427
11150.0,0.0
11160.0,0.0
11170.0,0.5
11190.0,0.2222222222222222
11200.0,0.5
11210.0,0.3125
11220.0,0.4
11230.0,0.39285714285714285
11240.0,0.4105263157894737
11250.0,0.14285714285714285
21010.0,0.34146341463414637
21020.0,0.2222222222222222
21030.0,0.0
21040.0,0.1794871794871795
21050.0,0.24444444444444444
21060.0,0.34782608695652173
21070.0,0.29411764705882354
21080.0,0.16666666666666666
21090.0,0.24839400428265523
21100.0,0.2
21110.0,0.25
21120.0,0.5714285714285714
21130.0,0.0
21140.0,0.11956521739130435
21150.0,0.16666666666666666
21310.0,0.22580645161290322
22010.0,0.2465753424657534
22020.0,0.1111111111111111
22030.0,0.5
22040.0,0.0
22050.0,0.2857142857142857
22060.0,0.3235294117647059
22070.0,0.3055555555555556
22310.0,0.23076923076923078
23010.0,0.23214285714285715
23020.0,0.0
23030.0,0.0
23040.0,0.2692307692307692
23050.0,0.15151515151515152
23060.0,0.14285714285714285
23070.0,0.3333333333333333
23080.0,0.3333333333333333
23310.0,0.2721518987341772
23320.0,0.29411764705882354
24010.0,0.582089552238806
24020.0,0.8
24030.0,0.72
24040.0,0.47368421052631576
24050.0,0.5869565217391305
25000.0,1.0
25010.0,0.1111111111111111
25020.0,0.10416666666666667
25030.0,0.12195121951219512
25040.0,0.26744186046511625
25050.0,0.16666666666666666
26010.0,0.36363636363636365
26020.0,0.1951219512195122
26030.0,0.1111111111111111
26040.0,0.4444444444444444
26310.0,0.22448979591836735
29010.0,0.25396825396825395
31010.0,0.21666666666666667
31020.0,0.35294117647058826
31030.0,0.18181818181818182
31040.0,0.2222222222222222
31050.0,0.04
31060.0,0.3684210526315789
31070.0,0.16666666666666666
31080.0,0.25
31090.0,0.3090909090909091
31100.0,0.25
31110.0,0.2962962962962963
31120.0,0.18181818181818182
31130.0,0.13559322033898305
31140.0,0.0
31150.0,0.18181818181818182
31160.0,0.25
31170.0,0.14285714285714285
31180.0,0.5454545454545454
31190.0,0.33098591549295775
31200.0,0.25675675675675674
31210.0,0.391304347826087
31220.0,0.25
31230.0,0.12903225806451613
31240.0,0.23636363636363636
31250.0,0.2698412698412698
31260.0,0.2647058823529412
31270.0,0.14728682170542637
31280.0,0.1875
31350.0,0.3333333333333333
31370.0,0.2857142857142857
31380.0,0.22695035460992907
32010.0,0.24120603015075376
32020.0,0.275
32030.0,0.2709497206703911
32040.0,0.2597402597402597
32050.0,0.2916666666666667
32060.0,0.27791563275434245
32070.0,0.2898550724637681
32310.0,0.23170731707317074
32320.0,0.16666666666666666
32330.0,0.21875
32340.0,0.23076923076923078
32350.0,0.21818181818181817
32360.0,0.4375
32370.0,0.18181818181818182
32380.0,0.18181818181818182
32390.0,0.20689655172413793
32400.0,0.25
32410.0,0.3333333333333333
33020.0,0.21794871794871795
33030.0,0.16279069767441862
33040.0,0.24
33320.0,0.3384615384615385
33330.0,0.2608695652173913
33340.0,0.09523809523809523
33350.0,0.12
33360.0,0.19298245614035087
33370.0,0.1
33380.0,0.22110552763819097
33390.0,0.0
34010.0,0.2222222222222222
34020.0,0.348993288590604
34030.0,0.2375886524822695
34040.0,0.32608695652173914
34050.0,0.26153846153846155
34060.0,0.3
34070.0,0.625
34080.0,0.3146067415730337
34310.0,0.373134328358209
34330.0,0.18823529411764706
34340.0,0.20168067226890757
34350.0,0.42857142857142855
34360.0,0.24
34370.0,0.3
34380.0,0.34285714285714286
35010.0,0.28164556962025317
35020.0,0.3157894736842105
35030.0,0.28205128205128205
35040.0,0.45112781954887216
35050.0,0.3220338983050847
35060.0,0.42857142857142855
35310.0,0.23255813953488372
35320.0,0.3181818181818182
35330.0,0.3157894736842105
35340.0,0.3225806451612903
35350.0,0.28888888888888886
35360.0,0.2631578947368421
35370.0,0.4411764705882353
35380.0,0.4859154929577465
36010.0,0.2857142857142857
36020.0,0.40240963855421685
36030.0,0.35384615384615387
36040.0,0.34615384615384615
36060.0,0.24390243902439024
36310.0,0.45751633986928103
36320.0,0.43283582089552236
36330.0,0.26136363636363635
36350.0,0.34782608695652173
36360.0,0.3364485981308411
36370.0,0.5106382978723404
36380.0,0.7073170731707317
36390.0,0.28
36400.0,0.3125
36410.0,0.4230769230769231
36420.0,0.17307692307692307
36430.0,0.35714285714285715
36440.0,0.3191489361702128
36450.0,0.4473684210526316
36460.0,0.39705882352941174
36470.0,0.48148148148148145
36480.0,0.41284403669724773
37010.0,0.2114695340501792
37020.0,0.2148014440433213
37030.0,0.11627906976744186
37040.0,0.13953488372093023
37050.0,0.14893617021276595
37060.0,0.2647058823529412
37070.0,0.13333333333333333
37080.0,0.10526315789473684
37090.0,0.16923076923076924
37100.0,0.2916666666666667
37310.0,0.18181818181818182
37320.0,0.0
37330.0,0.2857142857142857
37340.0,1.0
37350.0,0.23140495867768596
37360.0,0.2898550724637681
37370.0,0.08333333333333333
37380.0,0.15384615384615385
37390.0,0.1111111111111111
37400.0,0.16666666666666666
37410.0,0.4
37420.0,0.17307692307692307
37430.0,0.0
38030.0,0.15555555555555556
38050.0,0.29767441860465116
38060.0,0.18
38070.0,0.1206896551724138
38080.0,0.11392405063291139
38090.0,0.2727272727272727
38100.0,0.17543859649122806
38110.0,0.2727272727272727
38310.0,0.0
38320.0,0.38461538461538464
38330.0,0.25806451612903225
38340.0,0.15625
38350.0,0.27751196172248804
38360.0,0.2857142857142857
38370.0,0.22448979591836735
38380.0,0.125
38390.0,0.2222222222222222
38400.0,0.2127659574468085
39010.0,0.26126126126126126
39020.0,0.3008849557522124
